2023M01;7.3
2023M02;7.3
2023M03;7.4
2023M04;7.4
2023M05;7.5
2023M06;7.6
2023M07;7.7
2023M08;7.8
2023M09;7.9
2023M10;8.0
2023M11;8.0
2023M12;8.1
2024M01;8.2
2024M02;8.3
2024M03;8.3
2024M04;8.3
2024M05;8.4
2024M06;8.4
2024M07;8.4
2024M08;8.5
2024M09;8.5
2024M10;8.6
2024M11;8.6
2024M12;8.6
2025M01;8.7
2025M02;8.7
2025M03;8.7
2025M04;8.8
2025M05;8.8
2025M06;8.8
2025M07;8.8
2025M08;8.8
2025M09;8.8
2025M10;8.8
2025M11;8.8
2025M12;8.8
2026M01;8.8
2026M02;8.7
2026M03;8.7
2026M04;8.7
2026M05;8.7
2026M06;8.7
2026M07;8.7
